id,displayName,score
player00000,Player 00000,47541
player00001,Player 00001,94604
player00002,Player 00002,19974
player00003,Player 00003,68874
player00004,Player 00004,67212
player00005,Player 00005,38846
player00006,Player 00006,40955
player00007,Player 00007,91412
player00008,Player 00008,54630
player00009,Player 00009,14369
player00010,Player 00010,69544
player00011,Player 00011,38667
player00012,Player 00012,86108
player00013,Player 00013,21981
player00014,Player 00014,93323
player00015,Player 00015,28966
player00016,Player 00016,98121
player00017,Player 00017,50213
player00018,Player 00018,43879
player00019,Player 00019,99079
player00020,Player 00020,7696
player00021,Player 00021,83828
player00022,Player 00022,20376
player00023,Player 00023,26063
player00024,Player 00024,70991
player00025,Player 00025,94944
player00026,Player 00026,79621
player00027,Player 00027,53862
player00028,Player 00028,44956
player00029,Player 00029,74264
player00030,Player 00030,7249
player00031,Player 00031,31961
player00032,Player 00032,72327
player00033,Player 00033,26475
player00034,Player 00034,83848
player00035,Player 00035,99455
player00036,Player 00036,90989
player00037,Player 00037,33903
player00038,Player 00038,71302
player00039,Player 00039,60406
player00040,Player 00040,34264
player00041,Player 00041,47796
player00042,Player 00042,16073
player00043,Player 00043,79490
player00044,Player 00044,74657
player00045,Player 00045,18172
player00046,Player 00046,19669
player00047,Player 00047,37780
player00048,Player 00048,62899
player00049,Player 00049,90492
player00050,Player 00050,31534
player00051,Player 00051,29116
player00052,Player 00052,25566
player00053,Player 00053,89045
player00054,Player 00054,58419
player00055,Player 00055,85904
player00056,Player 00056,48384
player00057,Player 00057,5294
player00058,Player 00058,95936
player00059,Player 00059,86243
player00060,Player 00060,9174
player00061,Player 00061,44229
player00062,Player 00062,95221
player00063,Player 00063,66742
player00064,Player 00064,52015
player00065,Player 00065,33958
player00066,Player 00066,5779
player00067,Player 00067,66297
player00068,Player 00068,27313
player00069,Player 00069,80732
player00070,Player 00070,39516
player00071,Player 00071,28747
player00072,Player 00072,33426
player00073,Player 00073,83049
player00074,Player 00074,76567
player00075,Player 00075,7709
player00076,Player 00076,26997
player00077,Player 00077,63068
player00078,Player 00078,50878
player00079,Player 00079,27242
player00080,Player 00080,89817
player00081,Player 00081,81041
player00082,Player 00082,53936
player00083,Player 00083,30979
player00084,Player 00084,36514
player00085,Player 00085,92076
